Title,Summary,URL,Publication_Date,Sentiment_Score
Le bio exige des spécialistes,"Sur ce marché en croissance, les enseignes misent aujourd'hui sur le recrutement de professionnels expérimentés. En attendant l'émergence d'une offre de formation spécifique, qui commence à peine à voir le jour.","https://www.lsa-conso.fr/le-bio-exige-des-specialistes,57035",2000-09-28 00:00:00,0
Petits-suisses et crèmes desserts bio,Résumé non disponible,"https://www.lsa-conso.fr/petits-suisses-et-cremes-desserts-bio,56754",2000-09-21 00:00:00,0
Soupes de légumes bio,Résumé non disponible,"https://www.lsa-conso.fr/soupes-de-legumes-bio,56750",2000-09-21 00:00:00,0
Yaourt Bio d'Armor,Résumé non disponible,"https://www.lsa-conso.fr/yaourt-bio-d-armor,56142",2000-09-07 00:00:00,0
Des fromages bio signés Nature préservée,Résumé non disponible,"https://www.lsa-conso.fr/des-fromages-bio-signes-nature-preservee,55540",2000-08-24 00:00:00,0
"Entouka, le bio pour enfants",Résumé non disponible,"https://www.lsa-conso.fr/entouka-le-bio-pour-enfants,55527",2000-08-24 00:00:00,0
Iceland veut passer au « tout-bio »,Résumé non disponible,"https://www.lsa-conso.fr/iceland-veut-passer-au-tout-bio,54236",2000-06-22 00:00:00,0
Moulin de Valdonne : découvrir un coffret bio,Résumé non disponible,"https://www.lsa-conso.fr/moulin-de-valdonne-decouvrir-un-coffret-bio,53941",2000-06-15 00:00:00,0
ÉLEVAGE « BIO »,Nouvelles règles d'alimentation,"https://www.lsa-conso.fr/elevage-bio,53170",2000-05-31 00:00:00,0
Rayons verts veut sortir le bio de son ghetto,"Les magasins bio aussi cherchent la différenciation. Pour élargir et séduire la clientèle, le nouveau concept Rayons verts s'écarte des normes « folkloriques ». Plus dépouillé, plus design, il valorise et rend les produits accessibles.","https://www.lsa-conso.fr/rayons-verts-veut-sortir-le-bio-de-son-ghetto,53027",2000-05-25 00:00:00,0.9715566635131836
Engrais Bio Mer,Résumé non disponible,"https://www.lsa-conso.fr/engrais-bio-mer,52784",2000-05-18 00:00:00,0
Desserts de fruits bio pour les tout-petits,Résumé non disponible,"https://www.lsa-conso.fr/desserts-de-fruits-bio-pour-les-tout-petits,52766",2000-05-18 00:00:00,0
"Philippe Bernadi, Rayons verts : Il veut dépoussiérer le bio","Le nouveau président de l'enseigne « verte », issu du secteur médical, souhaite rompre avec les habitudes. Pour élargir la clientèle, il veut que le bio soit synonyme de santé et de goût !","https://www.lsa-conso.fr/philippe-bernadi-rayons-verts-il-veut-depoussierer-le-bio,52585",2000-05-18 00:00:00,0.8446469902992249
Vivre bio,Résumé non disponible,"https://www.lsa-conso.fr/vivre-bio,52556",2000-05-18 00:00:00,0
Le bio dynamise la nutrition infantile,L'extension de l'offre favorise les ventes d'aliments infantiles bio qui sont en forte progression en GMS. Ce segment devrait pourtant rester une niche marketing.,"https://www.lsa-conso.fr/le-bio-dynamise-la-nutrition-infantile,52428",2000-05-11 00:00:00,0.05188852548599243
Le Maroc propose son bio,"Le royaume chérifien fait ses premiers pas dans l'agriculture biologique. Il souhaite devenir une source d'approvisionnement de l'Europe. Et plus particulièrement de la France, où la production ne suffit pas à répondre à l'explosion de la demande.","https://www.lsa-conso.fr/le-maroc-propose-son-bio,51499",2000-04-20 00:00:00,0.9396380186080933
"Produits bio : Biolait, 32 millions de litres de lait bio",Résumé non disponible,"https://www.lsa-conso.fr/produits-bio-biolait-32-millions-de-litres-de-lait-bio,51198",2000-04-13 00:00:00,0
L'agneau pascal bio,Résumé non disponible,"https://www.lsa-conso.fr/l-agneau-pascal-bio,51016",2000-04-06 00:00:00,0
Des pots frais 100 % soja et bio,Résumé non disponible,"https://www.lsa-conso.fr/des-pots-frais-100-soja-et-bio,50459",2000-03-23 00:00:00,0
Une brique de lait bio dotée de bouchon à vis,Résumé non disponible,"https://www.lsa-conso.fr/une-brique-de-lait-bio-dotee-de-bouchon-a-vis,50160",2000-03-16 00:00:00,0
Terreaux certifiés bio,Résumé non disponible,"https://www.lsa-conso.fr/terreaux-certifies-bio,49860",2000-03-09 00:00:00,0
Thés bio en sachet,Résumé non disponible,"https://www.lsa-conso.fr/thes-bio-en-sachet,49508",2000-03-02 00:00:00,0
Nouveau look pour la Jade bio,Résumé non disponible,"https://www.lsa-conso.fr/nouveau-look-pour-la-jade-bio,49501",2000-03-02 00:00:00,0
"Bio de Danone, avec des fruits et 0 % de matières grasses",Résumé non disponible,"https://www.lsa-conso.fr/bio-de-danone-avec-des-fruits-et-0-de-matieres-grasses,48942",2000-02-17 00:00:00,0
Plats cuisinés bio pour bébés,Résumé non disponible,"https://www.lsa-conso.fr/plats-cuisines-bio-pour-bebes,47418",2000-01-13 00:00:00,0
Asda va faire du discount sur les produits bio,Résumé non disponible,"https://www.lsa-conso.fr/asda-va-faire-du-discount-sur-les-produits-bio,47178",2000-01-13 00:00:00,0
Limonade bio,Résumé non disponible,"https://www.lsa-conso.fr/limonade-bio,47134",2000-01-06 00:00:00,0
Les Lyonnais se convertissent au bio,Les ouvertures et les agrandissements des enseignes bio se sont succédé dans la capitale des Gaules cette année.,"https://www.lsa-conso.fr/les-lyonnais-se-convertissent-au-bio,71987",2001-12-13 00:00:00,0.26206427812576294
Laitages bio Bionat,Résumé non disponible,"https://www.lsa-conso.fr/laitages-bio-bionat,71478",2001-11-22 00:00:00,0
Un soft-drink aux plantes bio,"Des végétaux aromatiques pour ingrédients de base, la certification AB pour caution, Taïga invite ceux qui ont soif à se « mettre au vert ».","https://www.lsa-conso.fr/un-soft-drink-aux-plantes-bio,71412",2001-11-22 00:00:00,0
Bio et formules enfants régénèrent le lait,"Sacré challenge, pour Candia et Lactel, d'endiguer le recul des segments historiques du lait. Le bio et les gammes ciblées sur certaines populations offrent de séduisantes alternatives. Mais ne dépassent pas le statut de niches.","https://www.lsa-conso.fr/bio-et-formules-enfants-regenerent-le-lait,70980",2001-10-31 00:00:00,0.02970564365386963
Agence bio,Résumé non disponible,"https://www.lsa-conso.fr/agence-bio,70966",2001-10-31 00:00:00,0
Plantation bio,Résumé non disponible,"https://www.lsa-conso.fr/plantation-bio,70472",2001-10-11 00:00:00,0
Épices bio pour vin chaud,Résumé non disponible,"https://www.lsa-conso.fr/epices-bio-pour-vin-chaud,70452",2001-10-11 00:00:00,0
Chariots « bio »,Résumé non disponible,"https://www.lsa-conso.fr/chariots-bio,70316",2001-10-04 00:00:00,0
Fruits et légumes bio Carrefour,Carrefour Bio signe aujourd'hui cinq légumes et fruits « cultivés » depuis 3 ans avec sa quarantaine de partenaires en agriculture biologique.,"https://www.lsa-conso.fr/fruits-et-legumes-bio-carrefour,70240",2001-10-04 00:00:00,0.7845728397369385
Le légume bio démarre doucement,"Malgré l'insuffisance de la production, quelques marques développent les gammes réclamées par une partie des consommateurs.","https://www.lsa-conso.fr/le-legume-bio-demarre-doucement,70124",2001-09-27 00:00:00,0
Encore du bio sur la Toile,Résumé non disponible,"https://www.lsa-conso.fr/encore-du-bio-sur-la-toile,69526",2001-09-13 00:00:00,0
"Bio-Planet : 100 % bio, le folklore en moins","Frais, surgelés, épicerie et liquides, hygiène-beauté, textile, jouets Aucun rayon ne manque dans le dernier supermarché ouvert par le groupe belge Colruyt à Courtrai. Sauf que tout est bio. Comme l'indique le nom de l'enseigne, qui pourrait être dupliquée à 15 exemplaires outre-Quiévrain.","https://www.lsa-conso.fr/bio-planet-100-bio-le-folklore-en-moins,69445",2001-09-06 00:00:00,0.4457430839538574
Le rayon clés en main du Club Bio,"Avec un concept merchandising global, ce groupe de PME spécialisées dans le biologique vise en priorité les petites surfaces alimentaires.","https://www.lsa-conso.fr/le-rayon-cles-en-main-du-club-bio,69253",2001-08-30 00:00:00,0.9371214509010315
Le Pain de Belledonne investit le frais bio,"La progression des chaînes spécialisées dans le bio fait le bonheur du Pain de Belledonne. Le fabricant savoyard de pain et de pâtisseries semi-sèches se lance, désormais, dans le frais.","https://www.lsa-conso.fr/le-pain-de-belledonne-investit-le-frais-bio,69065",2001-08-23 00:00:00,0.8104732632637024
Le petit bio a de grandes ambitions,"Émanation des magasins Naturalia, Biodoo.com veut compter sur le marché du bio en ligne. Et n'exclut pas à terme des partenariats en dehors de sa maison mère.","https://www.lsa-conso.fr/le-petit-bio-a-de-grandes-ambitions,68688",2001-07-05 00:00:00,0.9645264148712158
Fromages blancs bio,Résumé non disponible,"https://www.lsa-conso.fr/fromages-blancs-bio,68626",2001-06-28 00:00:00,0
Côté Bio démocratise le traiteur bio,"Spécialisée dans les produits traiteur bio, l'entreprise de Saint-Chamond travaille ses gammes pour rafraîchir l'offre biologique. Un succès en grande distribution.","https://www.lsa-conso.fr/cote-bio-democratise-le-traiteur-bio,68573",2001-06-28 00:00:00,0.9170286059379578
Les Pieds Nickelés du bio,"""L'explosion de la demande impose une rigueur qui devrait être partagée par tous. ""","https://www.lsa-conso.fr/les-pieds-nickeles-du-bio,68491",2001-06-28 00:00:00,0
Justice : En prison pour du faux bio,Résumé non disponible,"https://www.lsa-conso.fr/justice-en-prison-pour-du-faux-bio,68169",2001-06-14 00:00:00,0
Les vins bio de Terra Sana,Résumé non disponible,"https://www.lsa-conso.fr/les-vins-bio-de-terra-sana,68049",2001-06-08 00:00:00,0
Beurre de baratte bio,Résumé non disponible,"https://www.lsa-conso.fr/beurre-de-baratte-bio,67465",2001-05-17 00:00:00,0
Bio et équilibré,Résumé non disponible,"https://www.lsa-conso.fr/bio-et-equilibre,66769",2001-04-26 00:00:00,0
Le bio victime de son succès,"Sa croissance se dope aux scandales alimentaires, surtout celle des produits d'origine animale. Près de 50 % des Français ont acheté l'an dernier au moins un produit bio pour se réassurer et les GMS raflent la mise. Mais les ventes pourraient être meilleures si les transformateurs n'étaient en...","https://www.lsa-conso.fr/le-bio-victime-de-son-succes,66137",2001-04-19 00:00:00,0.04507571458816528
Printemps bio,"""L'agriculture biologique se développe en pleins paradoxes. ""","https://www.lsa-conso.fr/printemps-bio,66047",2001-04-19 00:00:00,0.8162770867347717
"Georges Quillet, Satoriz : Il surfe sur la vague bio","Cet ancien vendeur sur les marchés de Savoie a trouvé sa voie en créant Satoriz, une chaîne de 14 supérettes alimentaires bio. Il prévoit de passer le cap des 30 millions d'euros de chiffre d'affaires en 2003 et compte ouvrir un supermarché à Grenoble.","https://www.lsa-conso.fr/georges-quillet-satoriz-il-surfe-sur-la-vague-bio,65802",2001-04-12 00:00:00,0.16844987869262695
Bio à gogo,Résumé non disponible,"https://www.lsa-conso.fr/bio-a-gogo,64503",2001-03-15 00:00:00,0
Les débuts prometteurs du bio,"Du producteur local au supermarché en ligne, le bio a conquis le web. Les récentes interrogations sur la sécurité alimentaire renforcent la tendance. Toutefois, le marché reste restreint, confronté à des problèmes de logistique et de prix.","https://www.lsa-conso.fr/les-debuts-prometteurs-du-bio,63778",2001-02-22 00:00:00,0.5582619309425354
Les habits neufs des yaourts Bio d'Armor,Résumé non disponible,"https://www.lsa-conso.fr/les-habits-neufs-des-yaourts-bio-d-armor,63349",2001-02-15 00:00:00,0
Bio Réel mise sur le rayon frais,Lancement en Isère d'une nouvelle marque de produits bio.,"https://www.lsa-conso.fr/bio-reel-mise-sur-le-rayon-frais,62629",2001-02-01 00:00:00,0.9767424464225769
Secopra lance un jus d'orange frais bio,"Misant sur la qualité et la créativité, Secopra arrive au rayon frais avec un jus d'orange bio.","https://www.lsa-conso.fr/secopra-lance-un-jus-d-orange-frais-bio,61658",2001-01-11 00:00:00,0.006367743015289307
Chez Satoriz tout est bio,"Spécialiste de l'alimentaire bio, la chaîne Satoriz, créée en 1984 à Albertville, veut doubler son parc de magasin d'ici à trois ans.","https://www.lsa-conso.fr/chez-satoriz-tout-est-bio,61376",2001-01-04 00:00:00,0.16608011722564697
"Bio, bon et sans OGM",Résumé non disponible,"https://www.lsa-conso.fr/bio-bon-et-sans-ogm,87935",2002-12-19 00:00:00,0
"Leclerc, plus bio que bio",Résumé non disponible,"https://www.lsa-conso.fr/leclerc-plus-bio-que-bio,87602",2002-12-05 00:00:00,0
Une soupe bio légère,Résumé non disponible,"https://www.lsa-conso.fr/une-soupe-bio-legere,86965",2002-11-07 00:00:00,0
Des infusions bio pour bébés,Résumé non disponible,"https://www.lsa-conso.fr/des-infusions-bio-pour-bebes,86807",2002-10-31 00:00:00,0
Comme-Bio lance le supermarché bio en Espagne,"Pionnière, l'enseigne compte prendre de l'avance sur un marché convoité.","https://www.lsa-conso.fr/comme-bio-lance-le-supermarche-bio-en-espagne,86721",2002-10-31 00:00:00,0
Des thés bio,Résumé non disponible,"https://www.lsa-conso.fr/des-thes-bio,86650",2002-10-24 00:00:00,0
"Un café à la fois digeste, bio et éthique",Résumé non disponible,"https://www.lsa-conso.fr/un-cafe-a-la-fois-digeste-bio-et-ethique,86305",2002-10-10 00:00:00,0
"Melon, haricots verts, produits bio : la nouvelle donne du Maroc","Ses célèbres oranges trop petites étant moins prisées et ses tomates brimées par les quotas européens, le Maroc élargit son offre. Melons, fraises ou haricots verts sont en plein essor. Et la niche biologique à fort potentiel pourrait être l'« or vert » de demain du royaume chérifien.","https://www.lsa-conso.fr/melon-haricots-verts-produits-bio-la-nouvelle-donne-du-maroc,86284",2002-10-10 00:00:00,0.760809063911438
L'offre bio encore loin de la maturité,"Moins vendus et moins présents en magasins que les produits laitiers ou l'épicerie bio, moins beaux et plus chers que les produits conventionnels, malgré leur authenticité, les fruits et légumes restent les parents pauvres du rayon bio. Pourtant, les clients sont - sur le papier au moins -...","https://www.lsa-conso.fr/l-offre-bio-encore-loin-de-la-maturite,86283",2002-10-10 00:00:00,0.5296382308006287
Poulet bio mariné,Résumé non disponible,"https://www.lsa-conso.fr/poulet-bio-marine,86264",2002-10-10 00:00:00,0
Et l'Absolu devient bio...,Résumé non disponible,"https://www.lsa-conso.fr/et-l-absolu-devient-bio,86059",2002-10-03 00:00:00,0
Sandwiches bio Daunat,Résumé non disponible,"https://www.lsa-conso.fr/sandwiches-bio-daunat,85614",2002-09-12 00:00:00,0
"Bio, bon, éthique",Résumé non disponible,"https://www.lsa-conso.fr/bio-bon-ethique,85065",2002-07-11 00:00:00,0
Pas de nitrofen dans les produits bio allemands analysés en France.,"Les premières analyses réalisées par la DGCCRF sur des produits bio allemands vendus en Alsace et en Moselle n'ont pas révélé de traces de Nitrofen,l'herbicide cancérigène.","https://www.lsa-conso.fr/pas-de-nitrofen-dans-les-produits-bio-allemands-analyses-en-france,1913",2002-06-13 18:34:00,0.7716960310935974
Pont-l'Évêque bio Isigny Ste Mère,Résumé non disponible,"https://www.lsa-conso.fr/pont-l-eveque-bio-isigny-ste-mere,84289",2002-06-06 00:00:00,0
Beurre bio Paysan breton,Résumé non disponible,"https://www.lsa-conso.fr/beurre-bio-paysan-breton,84138",2002-05-30 00:00:00,0
Allemagne : Alerte sur les œufs bio.,Un herbicide cancérigène découvert dans la nourriture des volailles d'exploitations biologique oblige les détaillants à retirer de la vente leur œufs bio des rayons. Des réactions parfois tardives!,"https://www.lsa-conso.fr/allemagne-alerte-sur-les-ufs-bio,1819",2002-05-29 14:57:00,0.13787490129470825
Un herbicide cancérigène dans l'agriculture bio en Allemagne.,"La découverte de traces de Nitrofen, pesticide interdit par la commission européenne, dans l'alimentation d'un élevage de volailles biologiques fait scandale outre-Rhin.","https://www.lsa-conso.fr/un-herbicide-cancerigene-dans-l-agriculture-bio-en-allemagne,1802",2002-05-28 10:41:00,0.0556943416595459
Desserts bio à emporter,Résumé non disponible,"https://www.lsa-conso.fr/desserts-bio-a-emporter,83739",2002-05-10 00:00:00,0
"ENSEIGNES, RAYONS, CLIENTS : Les champions du bio","Qui achète quoi en rayons bio LS ? Dans quels magasins ? ACNielsen répond par une étude globale exclusive, à l'initiative de Organex, salon professionnel des produits bio. Hypers, rayon laitier et clients aisés ou seniors arrivent en tête. Réactions des « pro » du bio","https://www.lsa-conso.fr/enseignes-rayons-clients-les-champions-du-bio,83482",2002-05-02 00:00:00,0.13951265811920166
"Krisprolls, version bio",Résumé non disponible,"https://www.lsa-conso.fr/krisprolls-version-bio,82946",2002-04-04 00:00:00,0
La salade Batavia bio de Florette,Résumé non disponible,"https://www.lsa-conso.fr/la-salade-batavia-bio-de-florette,82438",2002-03-14 00:00:00,0
Des moutardes garanties bio,Résumé non disponible,"https://www.lsa-conso.fr/des-moutardes-garanties-bio,82429",2002-03-14 00:00:00,0
Nouvelles filières bio pour Carrefour,"Carrefour a signé avec la société AZ Méditerranée, à Cavaillon (Vaucluse), une convention ""Filière qualité bio Carrefour"" sur les citrons et les oranges.","https://www.lsa-conso.fr/nouvelles-filieres-bio-pour-carrefour,1211",2002-02-18 13:48:00,0.6337478756904602
Le bio gagne les spécialistes,La première région d'agriculture voit émerger une filière bio centrée autour d'un réseau de 83 magasins spécialisés en pleine croissance. La grande distribution éprouve plus de difficultés sur ce marché.,"https://www.lsa-conso.fr/le-bio-gagne-les-specialistes,81495",2002-01-31 00:00:00,0.9636087417602539
Saint-Clément-de-Rivière (34) : Le Chêne vert crée le bio multiservice,Résumé non disponible,"https://www.lsa-conso.fr/saint-clement-de-riviere-34-le-chene-vert-cree-le-bio-multiservice,81342",2002-01-24 00:00:00,0
Méo passe au bio,Résumé non disponible,"https://www.lsa-conso.fr/meo-passe-au-bio,81090",2002-01-10 00:00:00,0
Setrabio et Bio Convergence vont fusionner,Résumé non disponible,"https://www.lsa-conso.fr/setrabio-et-bio-convergence-vont-fusionner,81006",2002-01-10 00:00:00,0
Label Vie fait passer le bio à la dimension super,"Jean-Paul Legrand, adhérent du réseau d'indépendants Biocoop, veut créer un supermarché bio, avec boulangerie et espace poissonnerie.","https://www.lsa-conso.fr/label-vie-fait-passer-le-bio-a-la-dimension-super,72531",2003-12-11 00:00:00,0.9761084914207458
Label Vie fait passer le bio à la dimension super,"Jean-Paul Legrand, adhérent du réseau d'indépendants Biocoop, veut créer un supermarché bio, avec boulangerie et espace poissonnerie.","https://www.lsa-conso.fr/label-vie-fait-passer-le-bio-a-la-dimension-super,32575",2003-12-11 00:00:00,0.9761084914207458
Un site Internet pour les fruits et légumes bio,"L'interprofession des fruits et légumes frais, Interfel, lance un nouveau site Internet consacré aux fruits et légumes issus de l'agriculture biologique : www.interfelbio.com","https://www.lsa-conso.fr/un-site-internet-pour-les-fruits-et-legumes-bio,4718",2003-12-05 16:35:00,0.19418740272521973
Salmon'Est France apte pour le bio,"La PME française spécialisée dans la fabrication de produits alimentaires à base de saumon, vient d'obtenir le droit de transformer et de commercialiser du saumon d'Irlande bio.","https://www.lsa-conso.fr/salmon-est-france-apte-pour-le-bio,4631",2003-11-20 17:30:00,0.32754236459732056
La filière bio en pleine crise de croissance,"La France accuse du retard par rapport à ses partenaires européens. Suite au rapport du député Martial Saddier, le ministère de l'Agriculture doit annoncer des mesures avant la fin de l'année afin de relancer le secteur.","https://www.lsa-conso.fr/la-filiere-bio-en-pleine-crise-de-croissance,72096",2003-11-06 00:00:00,0
La filière bio en pleine crise de croissance,"La France accuse du retard par rapport à ses partenaires européens. Suite au rapport du député Martial Saddier, le ministère de l'Agriculture doit annoncer des mesures avant la fin de l'année afin de relancer le secteur.","https://www.lsa-conso.fr/la-filiere-bio-en-pleine-crise-de-croissance,31465",2003-11-06 00:00:00,0
Une campagne de communication pour les fruits et légumes bio,"Pour la première fois, l'interprofession orchestre, jusqu'en juin 2004, une campagne d'information. Cibles privilégiées : hypers et supermarchés.","https://www.lsa-conso.fr/une-campagne-de-communication-pour-les-fruits-et-legumes-bio,31254",2003-10-30 00:00:00,0
Première campagne de promotion pour les fruits et légumes bio,"La commission bio de l'interprofession des fruits et légumes frais (Interfel) a lancé une campagne de promotion des fruits et légumes bio, qui devrait durer jusqu'au mois de juin prochain.","https://www.lsa-conso.fr/premiere-campagne-de-promotion-pour-les-fruits-et-legumes-bio,4454",2003-10-23 17:35:00,0.6791462302207947
Grand Jury se décline en bio,"Après Carrefour et Champion, les enseignes de proximité du premier distributeur français lancent leur gamme bio sous marque de distributeur. Avec les mêmes fournisseurs.","https://www.lsa-conso.fr/grand-jury-se-decline-en-bio,30749",2003-10-09 00:00:00,0.9330161213874817
Nord-Pas-de-Calais Portes ouvertes sur les métiers du bio,Résumé non disponible,"https://www.lsa-conso.fr/nord-pas-de-calais-portes-ouvertes-sur-les-metiers-du-bio,30032",2003-09-18 00:00:00,0
La France très en retard sur le bio,"Le député de Haute-Savoie Martial Saddier (UMP) a remis aujourd'hui au ministre de l'Agriculture son rapport sur l'agriculture biologique. Il dresse un constat de retard de la France, reléguée au 13e rang européen (et au 25e rang mondial) en terme de surf","https://www.lsa-conso.fr/la-france-tres-en-retard-sur-le-bio,3967",2003-07-17 15:07:00,0.03336048126220703
Bio : un rapport bientôt remis au Premier Ministre,Le député Martial Saddier (UMP) devrait remettre le 17 juillet prochain un rapport sur l'agriculture biologique au Premier Ministre.,"https://www.lsa-conso.fr/bio-un-rapport-bientot-remis-au-premier-ministre,3902",2003-07-04 17:57:00,0.041633784770965576
Champion signe des cahiers des charges pour ses fruits et légumes bio,"L'enseigne a officialisé le 26 juin le partenariat avec ses fournisseurs de fruits et légumes bio en signant des cahiers des charges spécifique à la gamme Champion bio. Cette gamme a été démarrée en avril 2002 avec huit produits (banane, orange, citron, c","https://www.lsa-conso.fr/champion-signe-des-cahiers-des-charges-pour-ses-fruits-et-legumes-bio,3842",2003-06-26 13:52:00,0.7966711521148682
"Tout bio : Label Vie, bld Clémenceau, Marcq-en-Baroeul",Résumé non disponible,"https://www.lsa-conso.fr/tout-bio-label-vie-bld-clemenceau-marcq-en-baroeul,76294",2003-06-19 00:00:00,0
"Satoriz, la croissance au service du bio",La chaîne de distribution de produits bio commence à se développer hors de ses bases rhônalpines.,"https://www.lsa-conso.fr/satoriz-la-croissance-au-service-du-bio,76239",2003-06-19 00:00:00,0.03378087282180786
Le vin bio prend corps,"RÉGLEMENTATION - On ne pouvait parler jusqu'à aujourd'hui que d'un vin issu de l'agriculture biologique. Demain, on pourra parler d'un vin bio à part entière. C'est le sens de la démarche initiée par la Fnivab. Ses premiers effets concrets voient le jour avec le millésime 2003.","https://www.lsa-conso.fr/le-vin-bio-prend-corps,76139",2003-06-19 00:00:00,0.12710356712341309
Du chocolat éthique et bio,Résumé non disponible,"https://www.lsa-conso.fr/du-chocolat-ethique-et-bio,75943",2003-06-05 00:00:00,0
Des aides culinaires bio,Résumé non disponible,"https://www.lsa-conso.fr/des-aides-culinaires-bio,75942",2003-06-05 00:00:00,0
Des animations en grandes surfaces lors du Printemps Bio,"Dans l'attente de la publication du rapport commandé par le Premier Ministre au député Martial Saddier sur les pistes de développement de l'agriculture biologique française pour les prochaines années, les professionnels de filière organisaient cette semai","https://www.lsa-conso.fr/des-animations-en-grandes-surfaces-lors-du-printemps-bio,3649",2003-05-23 12:12:00,0.9742268919944763
"Georges Quillet, Satoriz, Co-fondateur de l'enseigne de produits biologiques : Un pionnier des produits bio","Co-fondateur des magasins Satoriz il y a vingt ans, Georges Quillet passe cette année à la vitesse supérieure. Il double la surface de sa centrale d'achats et part à la recherche de partenaires franchisés.","https://www.lsa-conso.fr/georges-quillet-satoriz-co-fondateur-de-l-enseigne-de-produits-biologiques-un-pionnier-des-produits-bio,75603",2003-05-22 00:00:00,0
Un pionnier des produits bio,"Co-fondateur des magasins Satoriz il y a vingt ans, Georges Quillet passe cette année à la vitesse supérieure. Il double la surface de sa centrale d'achats et part à la recherche de partenaires franchisés.","https://www.lsa-conso.fr/un-pionnier-des-produits-bio,29456",2003-05-22 00:00:00,0
Coup dur pour le bio,Résumé non disponible,"https://www.lsa-conso.fr/coup-dur-pour-le-bio,75421",2003-05-15 00:00:00,0
La chaîne bio Eau vive veut sortir de Rhône-Alpes,La société grenobloise gérant sept magasins en produits bio compte élargir son réseau en s'appuyant sur la construction d'un entrepôt près de Lyon. a société grenobloise gérant sept magasins en produits bio compte élargir son réseau en s'appuyant sur la construction d'un entrepôt près de Lyon.,"https://www.lsa-conso.fr/la-chaine-bio-eau-vive-veut-sortir-de-rhone-alpes,74220",2003-03-20 00:00:00,0.4298830032348633
Produits bio : Satoriz multiplie les fournisseurs,"SOURCING - L'enseigne bio, basée en Rhône-Alpes, développe un étroit partenariat avec ses fournisseurs pour maintenir la qualité des produits.","https://www.lsa-conso.fr/produits-bio-satoriz-multiplie-les-fournisseurs,73194",2003-01-30 00:00:00,0.8022909164428711
La gamme Bio de Danone s'enrichit,Résumé non disponible,"https://www.lsa-conso.fr/la-gamme-bio-de-danone-s-enrichit,73074",2003-01-23 00:00:00,0
Un café bio,Résumé non disponible,"https://www.lsa-conso.fr/un-cafe-bio,72734",2003-01-09 00:00:00,0
44 % des Français declarent consommer des produits bio,"Selon une enquête CSA pour l'Agence Bio, la proportion d'amateurs de produits biologiques a encore augmenté par rapport à l'an dernier.","https://www.lsa-conso.fr/44-des-francais-declarent-consommer-des-produits-bio,6713",2004-12-02 15:21:45,0.14118832349777222
